files=97 lines=4275

| feature | count | files | nests | example |
|---|---|---|---|---|
| CREATE VIEW | 118 | 57 | 15: arcaidia-nest, dips-nest, epoch-block-oracle-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, hackathon-nest, nests-mvp/subgraph-availability-oracle, nuthatch/obib-case2, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/10-vault_policy.sql:5 |
| CREATE OR REPLACE VIEW | 0 | 0 | 0:  |  |
| CREATE TABLE/MACRO/other | 0 | 0 | 0:  |  |
| WITH (CTE) | 38 | 29 | 9: arcaidia-nest, graph-allocations-nest, graph-gns-nest, graph-tap-escrow-nest, nuthatch/obib-case2, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/10-vault_policy.sql:6 |
| WITH RECURSIVE | 0 | 0 | 0:  |  |
| SELECT | 570 | 71 | 15: arcaidia-nest, dips-nest, epoch-block-oracle-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, hackathon-nest, nests-mvp/subgraph-availability-oracle, nuthatch/obib-case2, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/10-vault_policy.sql:7 |
| SELECT DISTINCT | 3 | 3 | 3: graph-gns-nest, nuthatch/obib-case2, qos-reo-nest | graph-gns-nest/views/30-identity.sql:40 |
| DISTINCT ON | 0 | 0 | 0:  |  |
| SELECT * EXCLUDE | 0 | 0 | 0:  |  |
| SELECT * REPLACE | 0 | 0 | 0:  |  |
| SELECT * / t.* | 27 | 17 | 10: arcaidia-nest, graph-allocations-nest, graph-gns-nest, graph-tap-escrow-nest, nests-mvp/subgraph-availability-oracle, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/80-pending_intents.sql:3 |
| FROM-first syntax (stmt or subquery opens with FROM) | 0 | 0 | 0:  |  |
| CTE definitions (name AS () | 138 | 29 | 9: arcaidia-nest, graph-allocations-nest, graph-gns-nest, graph-tap-escrow-nest, nuthatch/obib-case2, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/10-vault_policy.sql:6 |
| JOIN (any) | 119 | 37 | 10: arcaidia-nest, dips-nest, graph-allocations-nest, graph-gns-nest, nuthatch/obib-case2, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/10-vault_policy.sql:58 |
| LEFT JOIN | 75 | 21 | 6: arcaidia-nest, graph-allocations-nest, graph-gns-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/10-vault_policy.sql:58 |
| INNER JOIN | 0 | 0 | 0:  |  |
| FULL JOIN | 4 | 3 | 2: graph-allocations-nest, qos-reo-nest-typed | graph-allocations-nest/checks/indexer-daily-sums.sql:23 |
| RIGHT JOIN | 0 | 0 | 0:  |  |
| CROSS JOIN | 1 | 1 | 1: qos-reo-nest-typed | qos-reo-nest-typed/views/50-qos-freshness-summary.sql:27 |
| SEMI/ANTI JOIN | 0 | 0 | 0:  |  |
| ASOF JOIN | 2 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/90-lodestar-indexers.sql:45 |
| NATURAL JOIN | 0 | 0 | 0:  |  |
| POSITIONAL JOIN | 0 | 0 | 0:  |  |
| LATERAL | 2 | 2 | 2: graph-allocations-nest, qos-reo-nest | graph-allocations-nest/views/90-lodestar-indexers.sql:228 |
| JOIN ... USING (col) | 4 | 4 | 1: qos-reo-nest-typed | qos-reo-nest-typed/checks/freshness.sql:11 |
| comma join (FROM a, b) | 3 | 3 | 3: arcaidia-nest, graph-allocations-nest, qos-reo-nest | arcaidia-nest/views/85-protocol_state.sql:38 |
| UNION ALL | 160 | 28 | 10: arcaidia-nest, dips-nest, graph-allocations-nest, graph-staking-nest, graph-tap-escrow-nest, nuthatch/obib-case2, perpl-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/30-settlements.sql:10 |
| UNION (distinct) | 2 | 2 | 2: graph-allocations-nest, nuthatch/obib-case2 | graph-allocations-nest/views/95-lodestar-deployments.sql:43 |
| UNION BY NAME | 0 | 0 | 0:  |  |
| INTERSECT/EXCEPT | 0 | 0 | 0:  |  |
| GROUP BY | 108 | 38 | 13: arcaidia-nest, dips-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, hackathon-nest, nests-mvp/subgraph-availability-oracle, nuthatch/obib-case2, perpl-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/10-vault_policy.sql:33 |
| GROUP BY ALL | 20 | 7 | 3: qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | qos-reo-nest-typed/views/05-qos-publisher.sql:25 |
